,word,construction,adj_class,polarity,cos_rett_macaw,cos_prag_macaw,cos_sem_macaw,cos_rett_gpt,cos_prag_gpt,cos_sem_gpt
80,visible,comparative,absolute,positive,0.736488333,0.707395588,0.737481117,0.688000962,0.757099801,0.737051391
81,invisible,positive,absolute,negative,0.711967633,0.839583565,0.817191434,0.739816486,0.770120027,0.77096471
82,invisible,equative,absolute,negative,0.664120526,0.712180593,0.713837023,0.727607023,0.740632051,0.747206131
83,invisible,comparative,absolute,negative,0.633489349,0.674632109,0.719744728,0.703969171,0.733161093,0.737661146
84,straight,positive,absolute,positive,0.745897295,0.77007602,0.815453167,0.715490147,0.769115107,0.787093209
85,straight,equative,absolute,positive,0.730038204,0.81256753,0.806798748,0.710300694,0.753161161,0.720786335
86,straight,comparative,absolute,positive,0.776404229,0.724836521,0.734591932,0.679744061,0.732934565,0.744234399
87,bent,positive,absolute,negative,0.736107331,0.776958314,0.773924724,0.727324259,0.783661279,0.751976082
88,bent,equative,absolute,negative,0.72678326,0.750773399,0.73488547,0.704964003,0.775925409,0.743801037
89,bent,comparative,absolute,negative,0.734073302,0.765777299,0.768221189,0.688035249,0.75297261,0.730713462
90,awake,positive,absolute,positive,0.76796803,0.833990542,0.820462985,0.682250606,0.786585446,0.787574434
91,awake,equative,absolute,positive,0.783849121,0.813620533,0.814796534,0.700693494,0.765564422,0.737284365
92,awake,comparative,absolute,positive,0.800821715,0.811200638,0.812190491,0.669390002,0.723075428,0.731391477
93,asleep,positive,absolute,negative,0.672218813,0.793596538,0.836853422,0.696825296,0.766938086,0.79798967
94,asleep,equative,absolute,negative,0.786177298,0.826492501,0.825045278,0.68581568,0.753373051,0.740833521
95,asleep,comparative,absolute,negative,0.804078243,0.814454593,0.833465306,0.673543548,0.736038977,0.72198239
